,Isolate,meanLesion
1,1.01.01,0.536383333
2,1.01.02,0.697108333
3,1.01.03,0.754583333
4,1.01.04,0.749241667
5,1.01.06,0.780233333
6,1.01.15,0.633325
7,1.02.01,0.900558333
8,1.02.02,0.555733333
9,1.02.03,0.689733333
10,1.02.04,0.63785
12,1.02.06,0.420416667
13,1.02.15,0.502766667
14,1.02.16,0.694108333
15,1.02.17,0.504783333
16,1.02.18,0.504583333
17,1.02.20,0.638733333
18,1.03.02,0.6372
19,1.03.04,0.74595
20,1.03.12,0.876725
21,1.03.16,0.763966667
22,1.03.18,0.73415
23,1.03.19,0.423216667
24,1.03.20,0.582433333
25,1.03.22,0.42395
26,1.03.23,0.682258333
27,1.04.01,0.723008333
28,1.04.02,0.506325
29,1.04.03,0.594666667
30,1.04.04,0.454275
31,1.04.05,0.414308333
32,1.04.12,0.371341667
33,1.04.15,0.416525
34,1.04.17,0.6099
35,1.04.19,0.5159
36,1.04.20,0.588741667
37,1.04.21,0.555808333
38,1.04.25,0.6645
39,1.05.04,0.484375
40,1.05.11,0.492975
41,1.05.14,0.651508333
42,1.05.16,0.4836
43,1.05.17,0.792408333
44,1.05.22,0.493741667
45,1.05.24,0.3315
57,2004,0.610125
46,2.04.03,0.599941667
47,2.04.04,1.0018
48,2.04.08,1.026783333
49,2.04.09,0.876141667
50,2.04.11,0.964108333
51,2.04.12,1.178366667
52,2.04.14,0.695766667
53,2.04.17,0.779108333
54,2.04.18,0.997333333
55,2.04.20,0.77535
56,2.04.21,0.720433333
60,Acacia,0.693466667
61,Apple404,0.767441667
62,Apple517,0.978333333
63,Ausubel,0.985216667
64,B05.10,0.700758333
65,BMM,0.780725
66,BPA1,0.6498
67,DavisNavel,0.623891667
68,EsparatoFresa,0.39945
69,Fd1,0.767758333
70,Fd2,1.03825
71,Fresa525,0.935433333
72,FresaSD,0.566683333
73,Gallo1,0.466308333
74,Gallo2,0.459025
76,Geranium,0.810816667
77,Grape,0.7216
78,KatieTomato,0.990591667
80,KernB1,0.9375
81,KernB2,0.9892
82,KGB1,0.403258333
83,KGB2,0.889016667
84,MEAP6G,0.672458333
85,Mex03,0.677066667
86,Molly,0.652841667
87,Navel,0.181158333
88,NobleRot,0.278683333
89,Peachy,0.43715
90,Pepper,0.732525
91,PepperSub,0.79835
92,PhiloMenlo,1.109175
93,Rasp,0.909166667
94,Rose,0.392758333
95,Supersteak,0.879408333
97,UKRazz,1.01715
