isolate,Isolate,Origin,Host,Spores (Y/N),Melanin (Y/N),Sclerotia (Y/N),Sclerotia age (Young/Mature),Sclerotia edge (Y/N),Sclerotia dispersed (Y/N),Sclerotia center (Y/N),Potential 3D growth,Oxalic Acid ,Cendivia,Brapa,Cintybus,Glycine,Helianthus,Solanum
2004,2004,Unknown,Unknown,y,n,n,NA,NA,NA,NA,NA,i,0.58,0.36,0.5,0.23,1.68,0.8
1.01.01,1.01.01,California,Grape,y,n,y,m,n,n,y,NA,i,1.03,0.64,0.79,0.53,2.19,0.64
1.01.02,1.01.02,California,Grape,y,n,y,m,n,y,n,NA,i,1.26,0.66,0.7,0.38,2.07,0.87
1.01.03,1.01.03,California,Grape,y,n,y,m,n,y,n,NA,l,1.28,0.52,0.73,0.51,2.24,0.87
1.01.04,1.01.04,California,Grape,y,n,n,NA,NA,NA,NA,NA,l,1.27,0.61,0.84,0.43,2.05,0.97
1.01.06,1.01.06,California,Grape,y,y,n,NA,NA,NA,NA,NA,l,0.88,0.6,0.91,0.4,2.18,0.92
1.01.15,1.01.15,California,Grape,y,y,y,m,n,y,n,NA,i,1.06,0.59,0.79,0.35,1.98,0.7
1.2.01,1.2.01,California,Grape,n,n,y,m,y,y,y,NA,h,1.34,0.66,0.91,0.48,1.85,0.95
1.2.02,1.2.02,California,Grape,n,n,y,m,y,y,y,NA,h,1.27,0.65,0.86,0.41,1.79,0.72
1.2.03,1.2.03,California,Grape,y,n,y,m,y,n,y,NA,h,1.28,0.6,0.85,0.34,1.76,0.78
1.2.04,1.2.04,California,Grape,n,n,y,m,y,n,y,NA,h,0.8,0.7,0.84,0.39,2.1,0.67
1.2.05,1.2.05,California,Grape,y,n,y,m,n,y,n,y,i,1.53,0.59,0.69,0.45,2.24,0.86
1.02.15,1.02.15,California,Grape,y,n,y,m,n,y,n,y,i,1.42,0.65,0.64,0.51,2.15,0.65
1.02.16,1.02.16,California,Grape,y,y,y,m,n,y,n,NA,l,1.21,0.39,0.68,0.4,1.22,0.72
1.02.17,1.02.17,California,Grape,y,n,y,m,n,y,n,NA,i,0.71,0.66,0.65,0.35,1.96,0.66
1.02.18,1.02.18,California,Grape,y,y,n,NA,NA,NA,NA,NA,i,0.09,0.06,-0.08,0.34,0.03,0.56
1.02.20,1.02.20,California,Grape,y,n,y,m,n,y,y,NA,h,1,0.64,0.85,0.45,1.89,0.83
1.03.02,1.03.02,California,Grape,y,n,y,m,n,y,n,NA,i,1.44,0.66,0.76,0.37,1.98,0.74
1.03.04,1.03.04,California,Grape,y,n,y,m,n,y,n,NA,i,1.38,0.68,0.82,0.36,1.97,0.88
1.03.12,1.03.12,California,Grape,y,n,y,m,y,n,y,NA,i,1.57,0.67,0.66,0.4,1.77,1.03
1.03.16,1.03.16,California,Grape,y,n,y,m,n,y,n,NA,i,1.42,0.63,0.8,0.38,1.86,0.91
1.03.18,1.03.18,California,Grape,y,n,y,m,n,y,n,NA,i,1.33,0.5,0.73,0.46,2.1,0.89
1.03.19,1.03.19,California,Grape,y,y,n,NA,NA,NA,NA,NA,i,1.18,0.51,0.66,0.21,1.82,0.45
1.03.20,1.03.20,California,Grape,y,y,y,m,n,y,n,NA,i,0.87,0.2,0.17,0.15,0.11,0.68
1.03.22,1.03.22,California,Grape,y,n,y,m,n,y,n,NA,i,0.58,0.73,0.73,0.44,1.6,0.5
1.03.23,1.03.23,California,Grape,y,n,y,m,y,y,y,NA,i,1.25,0.58,0.85,0.35,1.98,0.83
1.04.01,1.04.01,California,Grape,n,n,y,m,y,y,y,NA,h,1.41,0.65,0.92,0.33,2.04,0.77
1.04.02,1.04.02,California,Grape,y,n,y,m,y,n,n,NA,i,1.71,0.17,0.41,0.15,0.99,0.61
1.04.03,1.04.03,California,Grape,y,n,y,m,n,n,y,NA,h,0.91,0.61,0.57,0.41,2.03,0.69
1.04.04,1.04.04,California,Grape,y,n,y,m,n,n,y,NA,h,0.99,0.69,0.76,0.41,2.18,0.61
1.04.05,1.04.05,California,Grape,y,y,y,m,n,y,n,NA,h,1.33,0.61,0.64,0.39,1.92,0.5
1.04.12,1.04.12,California,Grape,y,n,n,NA,NA,NA,NA,NA,i,1.07,0.58,0.67,0.21,1.85,0.45
1.04.15,1.04.15,California,Grape,y,n,n,NA,NA,NA,NA,NA,i,1.06,0.57,0.63,0.4,1.49,0.52
1.04.17,1.04.17,California,Grape,y,n,y,m,y,n,y,NA,l,0.96,0.87,0.66,0.42,1.95,0.71
1.04.19,1.04.19,California,Grape,y,n,y,m,n,n,y,NA,i,0.92,0.56,0.79,0.55,2.05,0.64
1.04.20,1.04.20,California,Grape,y,n,y,m,y,n,y,NA,h,1.23,0.6,0.68,0.23,1.45,0.69
1.04.21,1.04.21,California,Grape,y,n,y,m,y,y,n,NA,i,1.17,0.55,0.71,0.25,1.3,0.71
1.04.25,1.04.25,California,Grape,n,n,y,m,y,y,y,NA,h,1.32,0.66,0.76,0.24,1.99,0.83
1.05.04,1.05.04,California,Grape,y,y,y,m,n,y,n,NA,l,1.33,0.39,0.77,0.14,1.65,0.7
1.05.11,1.05.11,California,Grape,y,n,y,m,n,y,n,NA,h,1.36,0.69,0.82,0.36,1.88,0.66
1.05.14,1.05.14,California,Grape,y,n,y,m,y,n,y,NA,h,1.53,0.62,0.82,0.29,2.21,0.82
1.05.16,1.05.16,California,Grape ,y,n,y,m,n,n,y,NA,h,1.61,0.58,0.73,0.39,NA,0.63
1.05.17,1.05.17,California,Grape,y,y,y,m,n,y,n,NA,i,1.38,0.44,0.78,0.25,1.28,0.85
1.05.22,1.05.22,California,Grape,y,n,y,m,n,y,y,NA,h,1.24,0.52,0.81,0.35,1.99,0.58
1.05.24,1.05.24,California,Grape,y,n,y,m,n,n,y,NA,h,1.27,0.7,0.96,0.53,2.03,0.39
2.04.03,2.04.03,California,Grape,y,y,y,m,n,y,n,NA,i,1.35,0.95,1.11,0.47,2.63,0.72
2.04.04,2.04.04,California,Grape,y,n,y,m,n,y,n,NA,i,2.04,0.93,0.98,0.52,2.5,1.05
2.04.08,2.04.08,California,Grape,y,n,y,m,n,y,y,NA,i,1.79,1.02,0.99,0.44,2.6,1.14
2.04.09,2.04.09,California,Grape,y,y,y,m,n,y,n,NA,i,1.77,0.96,1.01,0.49,2.43,0.98
2.04.11,2.04.11,California,Grape,y,y,y,m,n,y,n,NA,i,1.47,0.88,1.03,0.5,2.41,0.97
2.04.12,2.04.12,California,Grape,y,n,y,m,n,y,y,NA,i,1.9,0.91,0.92,0.49,2.33,1.35
2.04.14,2.04.14,California,Grape,y,y,y,m,n,y,n,NA,i,2.09,0.8,0.9,0.47,2.36,0.81
2.04.17,2.04.17,California,Grape,y,n,y,m,n,y,n,NA,i,1.37,1,1.14,0.47,2.33,0.85
2.04.20,2.04.20,California,Grape,y,y,y,m,n,y,y,NA,i,1.86,0.78,1,0.49,2.57,0.93
2.04.21,2.04.21,California,Grape,y,y,n,NA,NA,NA,NA,NA,l,1.76,0.81,0.85,0.4,2,0.87
94.1,94.1,Unknown,Unknown,y,n,y,m,n,y,y,NA,h,1.62,0.79,0.7,0.3,2.28,0.64
94.4,94.4,California,Orange,y,n,y,m,n,y,y,NA,i,1.45,0.63,0.53,0.27,1.16,0.84
Acacia,Acacia,South Africa,Acacia,y,y,n,NA,NA,NA,NA,NA,i,1.53,0.65,0.63,0.34,1.68,0.78
Apple404,Apple404,California,Apple,y,n,y,m,n,y,y,NA,i,1.35,0.72,0.87,0.54,2.34,0.94
Apple517,Apple517,California,Apple,n,n,y,m,n,y,y,NA,i,1.56,0.85,0.94,0.45,2.14,1.14
Ausubel,Ausubel,Massachusetts,Brassica,y,n,y,m,n,n,y,NA,h,1.76,0.57,0.52,0.41,1.71,1.08
B05.10,B05.10,Netherlands,Unknown,y,y,n,NA,NA,NA,NA,NA,i,0.9,0.83,0.66,0.36,0.97,0.76
BMM,BMM,Switzerland,Geranium,y,y,y,m,n,n,y,NA,i,0.82,0.77,0.7,0.48,2,0.84
